moeda,moeda_destino,valor_compra,valor_venda,maxima_dia,minima_dia,data_cotacao,arquivo_origem
USD,BRL,5.1369,5.1399,5.1643,5.0863,2026-07-28 21:19:41,cotacoes_20260729T002912Z.json
EUR,BRL,5.84454,5.85823,5.86167,5.78035,2026-07-28 21:17:20,cotacoes_20260729T002912Z.json
USD,BRL,5.1369,5.1399,5.1643,5.0863,2026-07-28 21:19:41,cotacoes_20260729T002914Z.json
EUR,BRL,5.84454,5.85823,5.86167,5.78035,2026-07-28 21:17:20,cotacoes_20260729T002914Z.json
USD,BRL,5.1369,5.1399,5.1643,5.0863,2026-07-28 21:19:41,cotacoes_20260729T003133Z.json
EUR,BRL,5.84454,5.85823,5.86167,5.78035,2026-07-28 21:17:20,cotacoes_20260729T003133Z.json
USD,BRL,5.1366,5.1396,5.1643,5.0863,2026-07-28 22:10:26,cotacoes_20260729T012225Z.json
EUR,BRL,5.84454,5.85823,5.86167,5.78035,2026-07-28 22:10:10,cotacoes_20260729T012225Z.json
USD,BRL,5.1372,5.1402,5.1643,5.0863,2026-07-28 22:20:34,cotacoes_20260729T013036Z.json
EUR,BRL,5.84795,5.86167,5.86167,5.78035,2026-07-28 22:20:01,cotacoes_20260729T013036Z.json
USD,BRL,5.1212,5.1242,5.1378,5.11386,2026-07-29 09:14:38,cotacoes_20260729T121901Z.json
EUR,BRL,5.82411,5.83771,5.8548,5.82072,2026-07-29 09:13:57,cotacoes_20260729T121901Z.json
USD,BRL,5.1271,5.1301,5.157,5.0947,2026-07-29 19:33:39,cotacoes_20260729T223927Z.json
EUR,BRL,5.87544,5.88928,5.88582,5.81058,2026-07-29 19:03:37,cotacoes_20260729T223927Z.json
USD,BRL,5.1271,5.1301,5.157,5.0947,2026-07-29 19:33:39,cotacoes_20260729T223931Z.json
EUR,BRL,5.87544,5.88928,5.88582,5.81058,2026-07-29 19:03:37,cotacoes_20260729T223931Z.json
USD,BRL,5.1271,5.1301,5.157,5.0947,2026-07-29 19:33:39,cotacoes_20260729T223935Z.json
EUR,BRL,5.87544,5.88928,5.88582,5.81058,2026-07-29 19:03:37,cotacoes_20260729T223935Z.json
USD,BRL,5.1273,5.1303,5.157,5.0947,2026-07-29 20:33:53,cotacoes_20260729T234141Z.json
EUR,BRL,5.87544,5.88928,5.88582,5.81058,2026-07-29 20:33:03,cotacoes_20260729T234141Z.json
USD,BRL,5.0875,5.0905,5.1284,5.0642,2026-07-30 11:21:25,cotacoes_20260730T142752Z.json
EUR,BRL,5.86167,5.87544,5.87544,5.82072,2026-07-30 11:21:12,cotacoes_20260730T142752Z.json
USD,BRL,5.0841,5.0871,5.1284,5.0617,2026-07-30 16:12:06,cotacoes_20260730T191848Z.json
EUR,BRL,5.85823,5.87199,5.87544,5.82072,2026-07-30 16:11:33,cotacoes_20260730T191848Z.json
USD,BRL,5.0841,5.0871,5.1284,5.0617,2026-07-30 16:12:06,cotacoes_20260730T191852Z.json
EUR,BRL,5.85823,5.87199,5.87544,5.82072,2026-07-30 16:11:33,cotacoes_20260730T191852Z.json
USD,BRL,5.0841,5.0871,5.1284,5.0617,2026-07-30 16:12:06,cotacoes_20260730T191854Z.json
EUR,BRL,5.85823,5.87199,5.87544,5.82072,2026-07-30 16:11:33,cotacoes_20260730T191854Z.json
